,company,job title,location,job description,salary estimate,company_size,company_type,company_sector,company_industry,company_founded,company_revenue
18,Ascendeum,Assistant Data Scientist,Bengaluru,"Job Responsibilities:
Identify valuable data sources and automate collection processes
Undertake preprocessing of structured and unstructured data.
Analyze large amounts of information to discover trends and patterns
Helping develop reports and analysis.
Present information using data visualization techniques.
Assessing tests and implementing new or upgraded software and assisting with strategic decisions on new systems.
Evaluating changes and updates to source production systems.
Develop, implement, and maintain leading-edge analytic systems, taking complicated problems and building simple frameworks
Providing technical expertise in data storage structures, data mining, and data cleansing.
Propose solutions and strategies to business challenges
Desired Skills and Experience:
At least 1 year of experience in Data Analysis
Complete understanding of Operations Research, Data Modelling, ML, and AI concepts.
Knowledge of Python is mandatory, familiarity with MySQL, SQL, Scala, Java or C++ is an asset
Experience using visualization tools (e.g. Jupyter Notebook) and data frameworks (e.g. Hadoop)
Analytical mind and business acumen
Strong math skills (e.g. statistics, algebra)
Problem-solving aptitude
Excellent communication and presentation skills.
Bachelor’s / Master's Degree in Computer Science, Engineering, Data Science or other quantitative or relevant field is preferred
Job Type: Full-time
Salary: Up to ₹1,000,000.00 per year
Benefits:
Internet reimbursement
Work from home
Schedule:
Day shift
Experience:
one year of (Required)
Show Less
Report",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
19,"TVS Motor
3.8",Data Scientist I,Hosūr,"Section
D&AI - Tech COE & Digital Manufacturing - Digital Manufacturing
Job posted on
Apr 30, 2023
Employee Type
White Collar
Experience range (Years)
1 year - 3 years

Group Company: TVS Motor Company
Designation: Data Scientist I (Data Scientist I_D&AI - Tech COE & Digital Manufacturing - Digital Manufacturing)

Office Location: Hosur Plant (Plant)
Position description:
participate in end-to-end ML projects deployments that require feasibility analysis, design, development, validation, and application of state-of-the art data science solutions.
Need to deliver solutions to production through the software development lifecycle
You will have to work closely with product owners in sales & marketing business units and build AI/ML solutions to mine consumer behavioural insights , competitive intel, brand and product insights, and improve daily work management.
Write production ready code and deploy real time ML models; expose ML outputs through APIs
Partner with data/ML engineers and vendor partners for input data pipes development and ML models automation
Primary Responsibilities:
Should have experience in market research analytics, marketing effectiveness, propensity modelling, customer segmentation, market mix model, recommendation models, personalization engines, customer.
Expert Python Programmer, strong hold on SQL, extremely proficient with the SciPy stack (e.g. numpy, pandas, sci-kit learn, matplotlib);
Hands on experience in model building, validation, and productionizing.
A demonstrated ability to mentor junior data scientists and proven experience in collaborative work environments with external customers.
Educational qualifications preferred.
Category: bachelor's degree
Field specialization: Computer and information Sciences and Support services, Computer Engineering, Computer Software engineering, Mathematics and computer sciences
Degree: Bachelor of Technology - BTech
Show Less
Report",#N/A,1001 to 5000 Employees,Company - Public,Manufacturing,Transportation Equipment Manufacturing,1978,$100 to $500 million (USD)
20,"Globussoft Technologies
4.4",Data Science,Bengaluru,"Job Description: DATA SCIENTIST

Selecting features, building and optimizing classifiers using machine learning techniques

Data mining using state-of-the-art methods

Extending company’s data with third party sources of information when needed

Processing, cleansing, and verifying the integrity of data used for analysis

Develop custom data models and algorithms to apply to data sets.

Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes.




Requirements
Machine Learning, Python, NLP, Deep Learning, Data Scraping, Knowledge of SQL and NoSQL is a plus point.
Show Less
Report",#N/A,201 to 500 Employees,Company - Private,Information Technology,Computer Hardware Development,2009,$5 to $25 million (USD)
21,"Unilever
4.1",Data Scientist – FEU Development & QA,Bengaluru,"JOB TITLE: Data Scientist – FEU Development & QA
LOCATION: UniOps Bangalore
ABOUT UNILEVER:
Be part of the world’s most successful, purpose-led business. Work with brands that are well-loved around the world, that improve the lives of our consumers and the communities around us. We promote innovation, big and small, to make our business win and grow; and we believe in business as a force for good. Unleash your curiosity, challenge ideas and disrupt processes; use your energy to make this happen. Our brilliant business leaders and colleagues provide mentorship and inspiration, so you can be at your best. Every day, nine out of ten Indian households use our products to feel good, look good and get more out of life – giving us a unique opportunity to build a brighter future.
Every individual here can bring their purpose to life through their work. Join us and you’ll be surrounded by inspiring leaders and supportive peers. Among them, you’ll channel your purpose, bring fresh ideas to the table, and simply be you. As you work to make a real impact on the business and the world, we’ll work to help you become a better you.
ABOUT UNIOPS:
Unilever Operations (UniOps) is the global technology and operations engine of Unilever offering business services, technology, and enterprise solutions. UniOps serves over 190 locations and through a network of specialized service lines and partners delivers insights and innovations, user experiences and end-to-end seamless delivery making Unilever Purpose Led and Future Fit.
Background:
For Unilever to remain competitive in the future, the business needs to continue on the path to become data intelligent. The Data & Analytics team will persevere to make Unilever Data Intelligent, powering key decisions with data, insights, advanced analytics and AI. Our ambition is to enable democratization of data, information and insights as a completely agile organization that builds fantastic careers for our people and is accountable for delivering great work that maximizes impact and delivers growth.
This Data & Analytics function endeavours to create clear accountability for all aspects of Data Strategy, Data Management, Information Management, Analytics, and Insights. We are accountable for impact of solutions, maintaining market relevance and minimising unnecessary overlaps in analytics products, ensuring simplicity and that our solutions better meet the needs of our users. We partner with the Digital and Data Legal Counsel to ensure that our Data Defence (Privacy, Governance, Quality, etc) is well structured and sufficiently robust to use data and AI correctly throughout the enterprise. We democratize information across the business, while supporting the culture shift required for data driven decision making.
Our vision is to make Unilever data intelligent, partnering with the business to power key decisions with data, advanced analytics and AI to accelerate growth. Our 5 strategies to achieve this are:
Accelerate & simplify access to relevant data, information and insights Build in-house, leading-edge data, information, insights & analytics capability Lead the data & insights culture and careers to empower employees across Unilever Rapidly embed analytics products, solutions and services to drive growth Advance Information Automation at Scale
The Data Scientist is an exciting role in the Data Science Centre of Excellence (CoE) team within D&A. This team builds state of the art machine learning algorithms, maximising the impact of D&A’s solutions in driving enterprise performance. Typical initiatives include building a state of art enterprise scale demand forecasting engine, optimizing trade promotion investments, accurately forecasting customer demand, using NLP to glean insight on consumer trends from search data, and making individual assortment recommendations for each of the millions of stores that sell Unilever products. The role will work closely with a D&A functional team such as Customer Development or Supply Chain along with business stakeholders, addressing both large transformation programs and near-term business problems.
Main Purpose of the Job:
(A concise statement setting out the main purpose and objectives of the job)
Forecast engine utility (FEU) is the Unilever’s inhouse AI/ML based demand & promotion forecasting solution. Data Scientist role will be responsible for regional development of this technology and own the forecast KPIs for the respective region (group of countries). Key Responsibility of this role will be to a data science design authority during the global forecasting solution rollout for the region.
Key Responsibility:
Develop and Govern data science build process and model Change landscape for enterprise level one-forest solution together with business team such as digital supply chain, integrated customer development team and Build partners
Technical due diligence of market DS work. Advanced knowledge on building and implanting scalable forecasting solution
Perform FEU forecast model diagnosis during development phase
Track model features and periodically evaluate model performance KPIs
Identify key gaps early on in development on data, feature or model which may lead to poor performance in parallel run
Push global DS model guideline/governance during project phase
Identify and proposed continuous improvement plan from FEU re-usable module (FEU LEGO)
Training and supervising build team on global forecasting library (LEU-LEGO) and strengthening technical gaps in global library by customizing the same as per region specific data and model requirements.
Write efficient and well-organized ML based software to ship products in an iterative, continual-release environment.
Engaging in strategic discussions to identify problems while measuring and improving the quality of workflows. Identify and implement opportunities to improve tooling and implementation of scalable solutions
Working in an agile environment with globally distributed teams.
To do this job successfully, you will need strong skills in Timeseries models, Machine Learning, and strong hold of object-oriented programming with large data. Experience in enterprise level ML product development is required.
Key accountabilities:
(Describe the decisions this role is accountable for and the responsibilities/deliverables expected)
Development & Deployment of state of art ML/AI models for timeseries demand forecasting
Evaluation of FEU market models as per global data science design
Provide new solutions to enhance the FEU demand forecast for new products, baseline, promotion lift and total forecast
Lead pilots and experiments to improve forecasting performance and scope
Implementation of scalable data science solution with market explainability features
Manage forecast run performance to achieve forecast accuracy, bias and no touch adoption targets
Responsible for technical strengthening of market data science models
Interact with relevant teams to identify business challenges where data science can help
Apply comprehensive data science knowledge to propose optimal techniques for key business challenges
Create detailed data science proposals and project plans, flagging any limitations of proposed solution
Design and prototype experimental solutions, particularly machine learning models
Facilitate industrialization and ongoing operation of solutions through well organised code, clear documentation and collaboration with ML Ops resources
Represent Data Science in cross-functional governance of projects, engaging with stakeholders up to Director level
Highlight recent developments in data science capability which could solve additional challenges
Lead a team of up to 1-2 data scientists / interns (WL2A), providing career mentorship and line management
Provide technical guidance to data scientists across D&A, particularly on the projects you lead
Support the growth of D&A’s data science capability by contributing to activities such as tool and vendor selection, best practice definition, recruitment, and creation of training materials
Build the reputation of D&A’s data science capability within Unilever and externally, through activities such as community engagement (e.g. Yammer), publications or blogs
Provide ad-hoc & immediate support to the business when needed (for example Covid-19 crisis support)
Depending on the specific project, the Senior Data Scientist can expect 80-90% of their work to be hands-on prototyping solutions, with the remainder spent planning and designing, overseeing and reviewing work of project staff, interfacing with stakeholders and managing team members.
Experience and qualifications required:
(Detail essential and desirable experience)
Standards of Leadership Required in This Role
Personal Mastery (Data-science and advanced analytics)
Agility
Business acumen
Passion for High Performance
Key Skills Required
Professional Skills
Machine learning Expert
Statistical modelling Expert
Forecasting Expert
Explainable ML/AI Expert
Python/Pyspark coding Expert
Data science platform tools e.g. MS Azure, Databricks Fully Operational
Deep learning (temporal & spatial learning ) Fully Operational
Collaborative development using Git repos Fully Operational
Automated Machine Learning platforms Foundational knowledge
While a broad data science technical background is required, the role will benefit from deeper skills (for example graduate studies or prior work experience) in one of the following areas, optimization, simulation, forecasting, natural language processing, computer vision or geospatial analysis.
General Skills
Project Management Operational
Communication / presentation skills Expert
3rd party resource management Operational
CPG Industry analytics Foundational knowledge
Strong communication and stakeholder engagement skills are essential, including the ability to influence peers and senior business stakeholders across Unilever.
Relevant Experience:
Minimum of B.S. in a relevant technical field (e.g. Computer Science, Engineering, Statistics, Operations Research); preferably a postgraduate (Masters or Doctorate) degree
At least 3 years (WL1 D) building data science solutions to solve business problems, preferably in the CPG industry (less experience may be acceptable if balanced by strong post-grad qualifications)
Experience with open source languages (eg. Python) and preferably with distributed computing (PySpark)
Experience deploying solutions in a modern cloud-based architecture
Key interfaces:
(List any external and internal contacts arising from the job)
Internal
Unilever operational, marketing, customer development, supply chain, product & finance teams
Internal D&A teams (Engagement teams; Data CoE; Solution Factory; BDL Factory; Information Factory; Tech Transformation)
Wider Unilever analytics and data science professionals
External
3rd party Data Science vendors
Universities
Industry bodies
Show Less
Report",#N/A,10000+ Employees,Company - Public,Manufacturing,Consumer Product Manufacturing,1872,$10+ billion (USD)
22,"Kmart
3.3",Data Scientist,Bengaluru,"Brighter futures start here

At Anko you’ll be joining a diverse team who come together to collaborate globally around tech. We are an innovation hub which power and support our retail brands. You’ll feel the impacts of the work you’ll do for our millions of customers and team members every day. Our brands are focused on being customer-led, digitally enabled retailers, providing you with challenging and rewarding work that you will be proud of.
Join our team, choose your own path and work on projects that excite you.
Team Name: Data Science

The Data and Analytics team drives competitive advantage by providing the best-in-class data, analytics, and insights for the Kmart Group. By using the latest cloud platforms tools, data engineering practices, and data science methods, the team is paving the way for a data culture within the organization, which leads to improved sales, cost savings, and customer satisfaction.
The team works with various functions and acts as a critical enabler of Kmart’s strategic priorities, such as creating a single view of the customer, digital supply chain, lowest price leadership, new categories, and new formats.

What you’ll be doing

Development & deployment of solutions that leverage data sciences & advanced analytics to drive incremental value for a retail business
Analyse and model structured data using advanced statistical methods and implement algorithms and software needed to perform analysis
Mine multiple data sets including large data sets through clustering & capture thematic trends

Desired qualification and work experience

M.S. or PH.D. in Computer Science, applied mathematics, statistics, physics, operations research, quantitative social sciences or related fields,Mandatory Formal Education/Qualifications e.g. CPA
B.S. in Computer Science, Applied/Business Statistics or Mathematics
3-5 years of relevant experience advanced analytics role preferably in Retail / CPG domain
Should have worked on projects / initiatives on inventory analytics, supply chain analytics
Proven application of advanced analytical and statistical methods. Prior experience in machine learning & big data analytics will be preferred.

Technical Skills

Strong programming skills in Python, SQL, HIVE
Good communication skills with the ability to explain complex analytical concepts to people from other functions
Ability to employ predictive modelling techniques to solve complex business problems
Experience in working with large relational databases (MS SQL / Teradata/ Oracle) & preferably AWS platforms as well

A place you can belong
We celebrate the rich diversity of the communities in which we operate and are committed to creating inclusive and safe environments where all our team members can contribute and succeed. We believe that all team members should feel valued, respected, and safe irrespective of your gender, ethnicity, indigeneity, religious beliefs, education, age, disability, family responsibilities, sexual orientation and gender identity and we encourage applications from all candidates.
Show Less
Report",#N/A,10000+ Employees,Subsidiary or Business Segment,Retail & Wholesale,General Merchandise & Superstores,1899,$5 to $10 billion (USD)
23,"Dow Jones
3.9","Data Scientist, Growth and Data Products",Bengaluru,"Job Description:
We’re looking for a data scientist who can work with the CDO’s strategy office of Dow Jones to strategize and support the execution of data-driven projects and initiatives across Dow Jones.
You will report to the VP, Growth and New Data Products, and will be responsible for conceptualizing and piloting innovative Data and AI use cases for all of Dow Jones. You will be working with the CDO’s strategy office including team of business analysts and data engineering team.
To do this job, you’ll need to be:
An excellent communicator – acting as a data scientist, you will be the bridge between the business and engineering arms of the organization. You must be able to communicate highly-technical details to senior business stakeholders, and phrase business goals in technical terms. Excellent verbal and written communication skills are a must.
Technical – you won’t only be communicating back and forth, but often will be part of building data-driven solutions yourself. Familiarity with software engineering is necessary, and experience with data-related software engineering (e.g. Python, R, SQL, etc) is preferred.
Business Value oriented – you will need to be excellent in quantifying value benefits from various data team initiatives and explain the return on data investments that Dow Jones makes. You must be able to architect value from all potential use cases and make sure the estimated value is delivered from the data products.
Have a minimum of 3 years’ experience working at the intersection of business and data with a technology focus.
Knowledgeable in data solutions relating to B2B and B2C digital products, marketing, and services is a strong plus.
Responsibilities for this role include:
Conceptualize various innovative ‘data’ initiatives and use cases across media and entertainment industry that can be applied to Dow Jones
Work with data engineering team to elaborate and obtain data required to validate hypothesis from each use case
Help run pilot on hypothesis and justify business value
Architect value from these initiatives and create a compelling value story to enable funding for execution of the use cases
Here are some things that we'd prefer to see, though none is independently a requirement:
Bachelor’s degree / Master’s degree in data sciences
Data science experience in media and entertainment industry
Great powerpoint, storyboarding and excel skills
Experience with working with senior leadership
Dow Jones, Making Careers Newsworthy - All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, protected veteran status, or disability status. EEO/AA/M/F/Disabled/Vets. Dow Jones is committed to providing reasonable accommodation for qualified individuals with disabilities, in our job application and/or interview process. If you need assistance or accommodation in completing your application, due to a disability, email us at talentresourceteam@dowjones.com. Please put ""Reasonable Accommodation"" in the subject line.
Business Area: TECHNOLOGY - PRODUCT DEVELOPMENT
Job Category: Data Analytics/Warehousing & Business Intelligence
Union Status:
Non-Union role
Since 1882, Dow Jones has been finding new ways to bring information to the world’s top business entities. Beginning as a niche news agency in an obscure Wall Street basement, Dow Jones has grown to be a worldwide news and information powerhouse, with prestigious brands including The Wall Street Journal, Dow Jones Newswires, Factiva, Barron’s, MarketWatch and Financial News.
This longevity and success is due to a relentless pursuit of accuracy, depth and innovation, enhanced by the wisdom of past experience and a solid grasp on the future ahead. More than its individual brands, Dow Jones is a modern gateway to intelligence, with innovative technology, advanced data feeds, integrated solutions, expert research, award-winning journalism and customizable apps and delivery systems to bring the information that matters most to customers, when and where they need it, every day.
If you are a current employee at Dow Jones, do not apply here. Please go to the Career section on your Workday homepage and view ""Find Jobs - Dow Jones."" Thank you.
Req ID: 36959
Show Less
Report",#N/A,5001 to 10000 Employees,Subsidiary or Business Segment,Media & Communication,Broadcast Media,1882,$500 million to $1 billion (USD)
24,Flexibility by AMS,Data scientist looking for only Females,Bengaluru,"Relevant Experience:
Minimum of B.S. in a relevant technical field (e.g. Computer Science, Engineering, Statistics, Operations Research); preferably a postgraduate (Masters or Doctorate) degree
Overall 5-8 years building data science solutions to solve business problems (less experience may be acceptable if balanced by strong post-grad qualifications)
Experience with open source languages (eg. Python) and preferably with distributed computing (e.g. PySpark)
Strong communication and stakeholder engagement skills are essential, including the ability to influence peers and senior business stakeholders
Experience deploying solutions in a modern cloud-based architecture
Experience managing the work of team members and 3rd party resource vendors
-Experience presenting insights and influencing decisions of senior non-technical stakeholders
Job Type: Full-time
Schedule:
Monday to Friday
Show Less
Report",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
25,"Whiteforce
3.4",Data Scientist - Mac,Bengaluru,"Employment Information
Industry Data Scientist
Job level
Salary -
Experience -
Pay-Type
Close-date
JOB-IDJB-22244
LocationBangalore
Job Descriptions


Your Role & Responsibilities :
Implement data-driven solutions based on advanced ML and optimization algorithms to address business problems
Research, experiment, and innovate ML/statistical approaches in various application areas of interest and contribute to IP
Partner with engineering teams to build scalable, efficient, automated ML-based pipelines (training/ evaluation/ monitoring)
Deploy, maintain, and debug ML/decision models in production environment
Analyze and assess data to ensure high data quality and correctness of downstream processes
Communicate results to stakeholders and present data/insights to participate in and drive decision making
Desired Skills & Experiences :
Bachelors or Masters in a quantitative field from a top tier college
1-2 years experience in a data science/analytics role in a technology/analy
Skills
Show Less
Report",#N/A,201 to 500 Employees,Company - Private,#N/A,#N/A,#N/A,Unknown / Non-Applicable
26,"Mercedes-Benz Research and Development India Private Limited
4.1",Data and Analytics Engineer,Bengaluru,"Aufgaben
Job description: Senior Engineer – Data Analytics
Understand business objective and translate it to Data science objective
Lead client discussions and brainstorm for ideas to solve business problems
Identify data sources, perform EDA , data cleaning and transformations for ML / DL models
Build ML / DL models hands on
Evaluate ML models and generate appropriate metrics for validation
Create necessary documentation and provide KT for deployment team to create apis for ML application
Constantly learn the latest updates in the ML / DL space and implement solutions accordingly
Recommend best practices for deployment in terms of infrastructure / technology required etc.
Act as an AI evangelist to stress the importance of AI / Data science within the dept. / team


Good to have :

Experience working with Azure cloud tech stack (databricks / ADLS etc.)
Experience building models in distributed computing (preferably pyspark)
Experience building AI models @ scale for auto / Manufacturing domain
Experience in deploying predictive or prescriptive data science solutions from any embedded electronic sensor data streams (such as Cameras, IoT sensors, wearables etc.)
Qualifikationen
Qualification:
1. Master’s degree/Bachlelor’s degree in Applied Mathematics, Statistics, Machine Learning, Electrical Engineering, Computer Science/Information Systems.
2.0-2 years of Data Science Experience in industry environment (preferably automotive).
3.A self-starter with a proven track record of working independently in developing Data science solutions
4. Experience working in a good mix structured and unstructured (NLP/image) data science projects
5. Advanced working knowledge in Python and ML / DL frameworks like tensorflow / Pytorch / OpenCV
6. Good conceptual understanding of ML / DL algorithms
7. Good experience with version control tools – GIT, Atlassian toolchain
8. Good knowledge of model deployment
Apply Now: click Apply Now
Show Less
Report",#N/A,5001 to 10000 Employees,Company - Private,Information Technology,Information Technology Support Services,1996,$100 to $500 million (USD)
27,"Fortive Corporate
3.7",Data Scientist,Bengaluru,"Why this opportunity is unique…

The Fortive companies provide essential technology for the people who accelerate progress. Our reason for being is to bring innovations that help keep the world moving forward.

Why this is a great place to work…

It all starts with the people and the culture. You will love working with colleagues who have a genuine desire to help you solve challenges. This keeps us wired.

Our culture is one of continuous improvement. We each come into work every day striving to make the organization a little better than it was the day before.

We ask the tough questions and push each other to be bold. In environments that fosters authenticity and transparency.

There are no games. No hidden agenda. No politics. What you see one day is what you will get every other day.

These are the traits we value:
You are collaborative, proactive, adaptable, and gritty. You excel at your expertise area and have knowledge of best-in-class patterns for applied data science. You balance a passion for deep understanding of innovation with the ability to deliver extraordinary results.

Ability to Deliver Results: Able to deliver to estimates and support the work of others, a resource for colleagues within area of expertise

Entrepreneurial Attitude: A proactive outlook that provides the chutzpah needed to overcome barriers, creatively problem solve, and test conventional thinking.

Comfort with Ambiguity: Able to exercise judgement and move forward when presented with multiple contradictory information sources.

Passion for Innovation: A demonstrated interest and desire to participate in innovation through personal study, on-the-job initiative, or other endeavors.

Positive Outlook: A desire to look past the objections in search of the opportunity.

Strong Communication Skills: A clear communicator, with an ability to support consensus-building

A need for speed; demonstrated ability to make decisions quickly and to act upon them.

Alongside a team of entrepreneurial, high-performing, curious people, you’ll deliver breakthrough solutions to drive sustainable growth for Fortive.

What you will do…

As a Data Scientist, you’ll support the execution and implementation of important and material solutions across all of Fortive.

Collaborate with cross-functional stakeholders to understand their business needs, formulate and complete end-to-end review that include: data gathering, review, scaled deliverables, recommendations and presentations to stakeholders.

Contribute to a wide variety of technical projects using statistical analysis, machine-learning, and other forms of analytical modeling.

If solving a material customer problem or finding an analytical solution to a core process bottleneck sounds like your kind of thing, our Data Scientist role might right for you.

This opportunity could be for you if…

Hold a bachelor’s degree (or its equivalent) in statistics/information-theory/computer-science or a related field is required, and a Master’s is preferred.

Demonstrated experience with applied data-science work, particularly to create value for customers or to create new organizational efficiencies.

Prior experience being part of cross-functional teams solving hard problems

Work experience with quantitative research methods (Mathematics, Computer Science, Statistics, Economics or related fields). Experience in statistics and Machine Learning Models, working with statistical/DS tools (R, SAS, Stata, MATLAB, Dataiku DSS, etc.).

Preferred Qualifications:
Track record of success in creating material outcomes at prior roles

Distinctive reasoning skills and experience working with business stakeholders.

Strong written and verbal communication skills.

Excellent problem-solving capabilities and critical thinking skills, as well as the ability to work on your own.

Fortive is headquartered in Everett, Washington, and employs more than 17,000 research and development, manufacturing, sales, distribution, service, and administrative employees in more than 40 countries worldwide. Our team grows by tackling challenges that accelerate progress and further their careers. With a culture rooted in continuous improvement, the core of our company's operating model is the Fortive Business System. For more information, please visit: www.fortive.com .

About Fortive:
Fortive is a diversified industrial growth company comprised of global businesses that are recognized leaders in attractive markets. With more than $6 billion in annual revenues, Fortive's well-known brands hold leading positions in field instrumentation, transportation, sensing, product realization, automation, health, and franchise distribution.
Show Less
Report",#N/A,10000+ Employees,Company - Public,Manufacturing,Machinery Manufacturing,2016,$5 to $10 billion (USD)
28,"Uber
4.3",Decision Scientist I,Bengaluru,"About the Team
In the last 4 years, our Risk team in India was improved with capabilities like Access Controls, Authentication, Auditability, Multi-Tenant architecture to support varieties of Internal users to use the platform in isolation.

The Eng team has constant collaboration with Risk Decision Scientists, Analytics, Product and Data Engineering to efficiently manage PetaBytes of data to get high quality signals from users. We #DoTheRightThing. While the Risk team handles much pre-planned work, we constantly look for gaps in the platform that can improve our operations.
About the Role
At Uber, we empower millions of people to earn and transact on the platform, and to do this in a scalable way, we need to be compliant with local regulations and manage the Financial Crime, AML/CTF risk that is associated with money movement.

The Compliance Data Science & Analytics team is responsible for keeping the platform fully compliant, with minimal friction to customers at the lowest cost to the company. Our team drives scalable solutions & products to ensure streamlined onboarding, customer due diligence, risk profiling, screening & supervising processes across multiple geographies. We strive to create magical customer experiences by leveraging data and technology to gather insights, identify opportunities, and ultimately prioritize product and engineering initiatives.

Does this sound exciting to you? Are you a tested teammate, strategic problem solver, and executor? We want to hear from you.
Your impact in the role:
Build scalable analytical frameworks to support product analytics for Uber's Compliance, Risk and Identity Platform
Build and maintain critical data pipelines, insight boards and monitor rules
Proactively seek out opportunities to build new solutions to address challenges
Help in new product experimentation including plan creation, roll-out, and monitoring
The experience you'll bring
2 to 4 years of demonstrated ability as a data analyst, business analyst, data scientist or product analyst
Proficiency in Advanced SQL, experience using Python/R
Expertise in experimentation, A/B testing, and statistical modelling
Love of data: Gather the data you need and turn it into a meaningful and informative story
Exposure to Payments, Compliance or Risk domains with a Product / Tech / Analytics Services company is helpful
What's in it for you?

Uber's culture and values are at the core of everything we do so that our employees can better understand who we are and what it’s like to work at Uber today.

Doing your best work means being your best self. Our focus is to support your overall wellbeing by offering a well-rounded set of benefits so you can be your best authentic self. We help our go-getters thrive and make it easier to manage life's encouraged and unexpected events, wherever you may be. #OneUber
Uber credits: Receive credits for Rides plus a discount. Credits are refreshed monthly and expire at the end of the month if not used.
Wellbeing reimbursement: Receive a wellbeing stipend for your physical and mental wellbeing, from gym memberships to fitness wearables.
Executive Health Check: One-time annual Health Screening Service via Apollo 24/7
Cell Phone Program: Employees can elect to receive a corporate cell phone or monthly phone allowance.
Paid Parental Leave: Family comes first, and our paid parental leave (18 weeks full pay) is accessible for all new parents from day 1 (with no tenure requirement).
The benefits mentioned here, to the extent they are in addition to those minimum statutory requirements, are provided at Uber’s sole discretion and are subject to change in the future. Terms and conditions may apply to each benefit.

Uber is proud to be an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected Veteran status, age, or any other characteristic protected by law. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you have a disability or special need that requires accommodation, please let us know by completing this form.

Offices continue to be central to collaboration and Uber’s cultural identity. Unless formally approved to work fully remotely, Uber expects employees to spend at least half of their work time in their assigned office. For certain roles, such as those based at green-light hubs, employees are expected to be in-office for 100% of their time. Please speak with your recruiter to better understand in-office expectations for this role.
Show Less
Report",#N/A,10000+ Employees,Company - Public,Information Technology,Internet & Web Services,2009,$10+ billion (USD)
29,"NatWest Group
4.0",Data & Analytics Analyst,Bengaluru,"Our people work differently depending on their jobs and needs. From hybrid working to flexible hours, we have plenty of options that help our people to thrive.
This role is based in India and as such all normal working days must be carried out in India.
Join us as a Data & Analytics Analyst
This is an opportunity to take on a purpose-led role in a cutting edge Data & Analytics team
You’ll be consulting with our stakeholders to understand their needs and identify suitable data and analytics solutions to meet them along with business challenges in line with our purpose
You’ll bring advanced analytics to life through visualisation in a meaningful way for key stakeholders, giving you excellent recognition for your work
We're offering this role at associate level
What you'll do
As a Data & Analytics Analyst, you’ll be using advanced analytics to develop business solutions which increase the understanding of our business, including its customers, processes, channels and products. You’ll be working closely with business stakeholders to define detailed business questions, problems or opportunities which can be supported through advanced analytics, making sure that new and existing processes are designed to be efficient, simple and automated where possible.
As well as this, you’ll be:
Working in an Agile way within multi-disciplinary data and analytics teams, co-ordinating resources from across the team and the business to achieve agreed project and scrum outcomes
Delivering data and analytics expertise and solutions, which brings commercial and customer value to business challenges
Communicating data and analytics opportunities and bringing them to life in a way that business stakeholders can understand and engage with, supporting them to select the best approach for the business needs
Using new tools, technologies and methodologies to carry out advanced analytics
Sharing relevant updates with key stakeholders bringing together advanced analytics, data science and data engineering work that is easily understandable and links back clearly to our business needs
The skills you'll need
We’re looking for someone with a passion for data and analytics together with knowledge of data architecture, key tooling and relevant coding languages. Along with proficiency in advanced analytics, you’ll bring an ability to simplify data into clear data visualisations and compelling insight using appropriate systems and tooling.
Alongside at least five years of experience in a data analyst role, you’ll have good financial services knowledge, and the ability to identify wider business impact, risk and opportunities, making connections across key outputs and processes. You'll also be educated to degree level in Computer Science.
You’ll also demonstrate:
Technical skills in SQL and Python, paired with database knowledge of Oracle, Teradata and Snowflake
Cloud based solutions experience, including AWS
Strong knowledge of data management principles
Experience of translating data and insights for key stakeholders
Knowledge of data engineering, data science and decisioning disciplines
Strong communication skills with the ability to engage with a wide range of stakeholders
Show Less
Report",#N/A,10000+ Employees,Company - Public,Finance,Banking & Lending,1727,$10+ billion (USD)
